Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Kids,2024-08-12 09:10:40,00:14:12,,Teen Titans Go!: Season 5: The Power of Shrimps / My Name is Jose (Episode 6),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:14:16,00:14:16,RW (Rwanda)
Kids,2024-08-12 08:49:47,00:20:50,,Teen Titans Go!: Season 5: Little Elvis / The Groover (Episode 5),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:20:54,00:20:54,RW (Rwanda)
Kids,2024-08-12 08:28:57,00:20:49,,Teen Titans Go!: Season 5: The Fight / Genie President (Episode 4),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:20:52,00:20:52,RW (Rwanda)
Kids,2024-08-12 08:27:52,00:01:02,,Teen Titans Go!: Season 5: Tower Renovation / Quantum Fun (Episode 3),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:21:13,00:21:13,RW (Rwanda)
Kids,2024-08-11 20:32:26,00:20:08,,Teen Titans Go!: Season 5: Tower Renovation / Quantum Fun (Episode 3),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:20:12,Not latest view,RW (Rwanda)
Kids,2024-08-11 20:11:10,00:21:12,,Teen Titans Go!: Season 5: Kabooms: Pt 1 / Kabooms: Pt. 2 (Episode 2),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:21:16,00:21:16,RW (Rwanda)
Kids,2024-08-11 19:50:45,00:20:23,,Teen Titans Go!: Season 5: The Scoop / Chicken in the Cradle (Episode 1),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:20:23,00:20:23,RW (Rwanda)
Kids,2024-08-11 19:50:35,00:00:07,Autoplayed: user action: None; ,Teen Titans Go!: Season 2_hook_01_16x9_backfill,HOOK,Samsung CE 2020 Kant-S2 DTV Smart TV,00:00:07,00:00:07,RW (Rwanda)
Nziza,2024-07-15 00:25:15,00:19:27,,"Young Sheldon: Season 6: A Tornado, a Ten-Hour Flight and a Darn Fine Ring (Episode 22)",,TCL Malone HDR10 Smart TV,00:20:11,00:20:11,US (United States)
Nziza,2024-07-15 00:05:49,00:19:10,Autoplayed: user action: User_Interaction; ,Young Sheldon: Season 6: A Romantic Getaway and a Germanic Meat-Based Diet (Episode 21),,TCL Malone HDR10 Smart TV,00:19:50,00:19:50,US (United States)
Nziza,2024-07-14 23:47:53,00:17:34,,Young Sheldon: Season 6: German for Beginners and a Crazy Old Man with a Bat (Episode 20),,TCL Malone HDR10 Smart TV,00:18:11,00:18:11,US (United States)
Nziza,2024-07-14 23:28:35,00:18:55,,Young Sheldon: Season 6: A New Weather Girl and a Stay-at-Home Coddler (Episode 19),,TCL Malone HDR10 Smart TV,00:19:12,00:19:12,US (United States)
Nziza,2024-05-24 04:43:09,00:01:05,Autoplayed: user action: None; ,Season 3 Teaser Batch 2: Bridgerton,TEASER_TRAILER,TCL Malone HDR10 Smart TV,00:01:05,00:01:05,US (United States)
Nziza,2024-05-24 04:08:49,00:34:09,,Bridgerton: Season 3: Old Friends (Episode 4),,TCL Malone HDR10 Smart TV,00:51:12,00:51:12,US (United States)
Nziza,2024-05-24 01:29:46,00:17:50,Autoplayed: user action: User_Interaction; ,Bridgerton: Season 3: Old Friends (Episode 4),,TCL Malone HDR10 Smart TV,00:17:03,Not latest view,US (United States)
Nziza,2024-05-24 00:38:47,00:50:57,,Bridgerton: Season 3: Forces of Nature (Episode 3),,TCL Malone HDR10 Smart TV,00:51:10,00:51:10,US (United States)
Nziza,2024-05-23 23:50:18,00:48:18,,Bridgerton: Season 3: How Bright the Moon (Episode 2),,TCL Malone HDR10 Smart TV,00:48:18,00:48:18,US (United States)
Nziza,2024-05-23 23:49:55,00:00:03,,Bridgerton: Season 1: Diamond of the First Water (Episode 1),,TCL Malone HDR10 Smart TV,00:00:03,00:00:03,US (United States)
Nziza,2024-05-23 23:49:46,00:00:03,,Bridgerton: Season 1: Diamond of the First Water (Episode 1),,TCL Malone HDR10 Smart TV,00:00:03,Not latest view,US (United States)
Nziza,2024-05-23 23:49:39,00:00:04,Autoplayed: user action: None; ,Season 3 Main Character Clip: Bridgerton,HOOK,TCL Malone HDR10 Smart TV,00:00:04,00:00:04,US (United States)
Quin,2024-08-22 21:27:36,00:42:11,,The Rookie: Season 5: The Enemy Within (Episode 17),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:42:31,00:42:31,RW (Rwanda)
Quin,2024-08-22 20:45:16,00:42:18,Autoplayed: user action: User_Interaction; ,The Rookie: Season 5: Exposed (Episode 16),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:42:18,00:42:18,RW (Rwanda)
Quin,2024-08-21 21:01:57,00:42:04,,The Rookie: Season 5: The Con (Episode 15),,Sony UNICORN4K Smart TV,00:42:27,00:42:27,RW (Rwanda)
Quin,2024-08-21 19:49:27,00:49:44,Autoplayed: user action: User_Interaction; ,The Rookie: Season 5: Death Sentence (Episode 14),,Sony UNICORN4K Smart TV,00:42:01,00:42:01,RW (Rwanda)
Quin,2024-08-21 19:48:18,00:01:04,Autoplayed: user action: User_Interaction; ,The Rookie: Season 5: Daddy Cop (Episode 13),,Sony UNICORN4K Smart TV,00:42:31,00:42:31,RW (Rwanda)
Quin,2024-08-21 16:29:44,00:03:56,,The Equalizer,,TCL Malone HDR10 Smart TV,02:07:47,02:07:47,US (United States)
Quin,2024-08-21 16:03:47,00:11:43,,The Equalizer,,TCL Malone HDR10 Smart TV,02:03:58,Not latest view,US (United States)
Quin,2024-08-21 03:12:48,00:37:34,,The Equalizer,,TCL Malone HDR10 Smart TV,01:52:14,Not latest view,US (United States)
Quin,2024-08-21 03:12:40,00:00:05,Autoplayed: user action: None; ,The Equalizer - CLM 1,HOOK,TCL Malone HDR10 Smart TV,00:00:05,00:00:05,US (United States)
Quin,2024-08-21 03:12:10,00:00:07,Autoplayed: user action: None; ,Grey's Anatomy: Season 1_hook_primary_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:07,00:00:07,US (United States)
Quin,2024-08-20 20:59:05,00:15:14,,The Equalizer,,TCL Malone HDR10 Smart TV,01:14:41,Not latest view,US (United States)
Quin,2024-08-20 20:29:52,00:26:29,,The Equalizer,,TCL Malone HDR10 Smart TV,00:59:34,Not latest view,US (United States)
Quin,2024-08-20 14:21:32,00:41:27,,The Rookie: Season 5: Daddy Cop (Episode 13),,Sony UNICORN4K Smart TV,00:41:27,Not latest view,RW (Rwanda)
Quin,2024-08-20 14:07:15,00:36:06,,The Equalizer,,TCL Malone HDR10 Smart TV,00:33:05,Not latest view,US (United States)
Quin,2024-08-20 14:07:05,00:00:07,Autoplayed: user action: None; ,The Equalizer_hook_01_16x9_backfill,HOOK,TCL Malone HDR10 Smart TV,00:00:07,00:00:07,US (United States)
Quin,2024-08-20 14:06:44,00:00:08,Autoplayed: user action: None; ,Jack Reacher: Never Go Back_hook_primary_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:08,00:00:08,US (United States)
Quin,2024-08-20 14:06:31,00:00:11,Autoplayed: user action: None; ,Trailer: Lift,TRAILER,TCL Malone HDR10 Smart TV,00:00:11,00:00:11,US (United States)
Quin,2024-08-20 14:06:10,00:00:15,Autoplayed: user action: None; ,Land of Bad_hook_primary_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:15,00:00:15,US (United States)
Quin,2024-08-20 13:58:03,00:02:34,,The Union,,TCL Malone HDR10 Smart TV,00:22:14,00:22:14,US (United States)
Quin,2024-08-20 13:45:21,00:36:05,,The Rookie: Season 5: Death Notice (Episode 12),,Sony UNICORN4K Smart TV,00:42:30,00:42:30,RW (Rwanda)
Quin,2024-08-20 07:13:31,00:00:37,,The Rookie: Season 5: Death Notice (Episode 12),,Sony UNICORN4K Smart TV,00:06:28,Not latest view,RW (Rwanda)
Quin,2024-08-20 07:00:27,00:05:53,,The Rookie: Season 5: Death Notice (Episode 12),,Sony UNICORN4K Smart TV,00:05:53,Not latest view,RW (Rwanda)
Quin,2024-08-20 06:34:20,00:25:00,,The Rookie: Season 5: The Naked and The Dead (Episode 11),,Sony UNICORN4K Smart TV,00:42:04,00:42:04,RW (Rwanda)
Quin,2024-08-20 04:33:01,00:19:43,,The Union,,TCL Malone HDR10 Smart TV,00:19:44,Not latest view,US (United States)
Quin,2024-08-20 04:32:50,00:00:08,Autoplayed: user action: None; ,Inciting Incident Clip 2: The Union,HOOK,TCL Malone HDR10 Smart TV,00:00:08,00:00:08,US (United States)
Quin,2024-08-20 04:30:10,00:00:06,Autoplayed: user action: None; ,A Discovery of Witches: Season 1_hook_02_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:06,00:00:06,US (United States)
Quin,2024-08-19 20:05:28,00:17:03,,The Rookie: Season 5: The Naked and The Dead (Episode 11),,Sony UNICORN4K Smart TV,00:17:03,Not latest view,RW (Rwanda)
Quin,2024-08-19 19:54:09,00:11:06,,The Rookie: Season 5: The List (Episode 10),,Sony UNICORN4K Smart TV,00:42:21,00:42:21,RW (Rwanda)
Quin,2024-08-19 18:06:21,00:30:04,,The Rookie: Season 5: The List (Episode 10),,Sony UNICORN4K Smart TV,00:30:42,Not latest view,RW (Rwanda)
